,trueX,trueY,trueZ,DNNX,DNNY,DNNZ,recoX,recoY,recoZ,nhits,recoVtxFOM,TrueTrackLengthInMRD,DR_reco,DR
0,-33.013,-8.570,28.478,0.000,0.000,30.365,-9999.000,-9999.000,-9999.000,56.000,-9999.000,0.000,17311.265,34.159
1,32.895,17.785,-26.041,10.172,0.000,0.000,-9999.000,-9999.000,-9999.000,41.000,-9999.000,0.000,17333.055,38.868
2,30.664,7.518,-14.819,26.244,0.000,0.000,37.466,4.482,-8.014,156.000,94.383,32.033,10.089,17.195
3,-34.582,-3.155,-36.873,0.000,0.000,0.000,-30.390,-1.507,-30.429,214.000,94.790,9.198,7.862,50.651
4,-19.716,38.593,-1.013,3.891,26.111,17.503,-9999.000,-9999.000,-9999.000,16.000,-9999.000,0.000,17329.141,32.495
5,-17.980,45.767,49.033,0.000,0.000,39.044,-9999.000,-9999.000,-9999.000,75.000,-9999.000,152.608,17363.210,50.177
6,-41.306,-16.772,46.166,0.000,0.000,29.231,-9999.000,-9999.000,-9999.000,115.000,-9999.000,0.000,17312.016,47.689
7,-10.634,3.301,-45.789,0.000,0.000,0.000,-9999.000,-9999.000,-9999.000,32.000,-9999.000,0.000,17288.143,47.123
8,-31.908,-30.145,-21.565,0.000,0.000,0.000,-9999.000,-9999.000,-9999.000,30.000,-9999.000,0.000,17270.501,48.907
9,41.143,43.548,47.600,10.842,29.132,3.740,-9999.000,-9999.000,-9999.000,35.000,-9999.000,0.000,17395.155,55.224
10,-23.559,16.896,-33.441,0.000,0.000,0.000,-9999.000,-9999.000,-9999.000,52.000,-9999.000,0.000,17295.663,44.258
11,17.587,-6.570,-23.273,13.477,0.000,0.000,21.809,-3.516,-18.042,252.000,94.102,11.533,7.383,24.529
12,-39.381,-26.301,8.049,13.624,0.000,0.000,-9999.000,-9999.000,-9999.000,28.000,-9999.000,0.000,17285.536,59.716
13,-36.215,-17.141,45.554,18.426,0.000,17.073,-9999.000,-9999.000,-9999.000,92.000,-9999.000,0.000,17314.377,63.959
14,-26.505,-38.550,-6.479,4.742,0.000,0.000,-9999.000,-9999.000,-9999.000,113.000,-9999.000,0.000,17277.491,50.045
15,-47.799,31.363,5.544,0.000,0.000,0.000,-9999.000,-9999.000,-9999.000,107.000,-9999.000,0.000,17312.582,57.438
16,-42.099,-45.957,22.953,0.000,3.726,0.000,-9999.000,-9999.000,-9999.000,63.000,-9999.000,0.000,17281.276,69.047
17,16.352,-20.720,-10.454,0.000,0.000,0.000,-9999.000,-9999.000,-9999.000,51.000,-9999.000,0.000,17310.240,28.390
18,-28.012,25.947,-19.062,0.000,22.612,0.000,-9999.000,-9999.000,-9999.000,35.000,-9999.000,0.000,17306.627,34.046
19,28.964,28.044,-7.913,0.000,3.938,0.000,-9999.000,-9999.000,-9999.000,69.000,-9999.000,0.000,17347.147,38.505
20,24.648,-1.594,17.891,20.204,16.044,1.505,-9999.000,-9999.000,-9999.000,47.000,-9999.000,0.000,17342.426,24.482
21,-21.278,-30.323,-44.647,0.000,0.000,0.000,-9999.000,-9999.000,-9999.000,22.000,-9999.000,0.000,17263.215,58.014
22,-1.376,-11.067,-46.498,0.000,0.000,0.000,-9999.000,-9999.000,-9999.000,52.000,-9999.000,0.000,17284.779,47.817
23,5.013,-49.661,10.676,12.112,0.000,0.000,-9999.000,-9999.000,-9999.000,68.000,-9999.000,38.768,17299.226,51.289
24,-46.445,-0.066,-22.034,0.000,0.000,0.000,-9999.000,-9999.000,-9999.000,23.000,-9999.000,0.000,17279.233,51.407
25,16.067,44.849,-14.675,15.257,0.000,0.000,-9999.000,-9999.000,-9999.000,13.000,-9999.000,0.000,17345.524,47.196
26,16.309,-21.003,33.789,3.036,0.000,35.168,-9999.000,-9999.000,-9999.000,112.000,-9999.000,0.000,17335.619,24.884
27,23.320,40.701,38.411,18.924,18.466,20.487,-9999.000,-9999.000,-9999.000,22.000,-9999.000,0.000,17377.920,28.896
28,45.237,49.965,-32.136,2.172,37.591,5.628,-9999.000,-9999.000,-9999.000,18.000,-9999.000,0.000,17355.310,58.599
29,11.190,-29.897,46.807,0.000,16.539,40.805,-9999.000,-9999.000,-9999.000,195.000,-9999.000,23.405,17335.085,48.140
30,27.632,-24.147,-42.547,0.000,0.000,0.000,-9999.000,-9999.000,-9999.000,18.000,-9999.000,0.000,17296.300,56.186
31,-21.826,32.374,-14.271,0.000,30.645,0.000,-9999.000,-9999.000,-9999.000,61.000,-9999.000,0.000,17316.676,26.135
32,-20.195,-45.203,20.481,0.000,0.000,2.634,-9999.000,-9999.000,-9999.000,15.000,-9999.000,0.000,17292.907,52.628
33,7.622,44.046,-40.732,0.000,0.000,0.000,-15.618,38.660,-79.820,179.000,92.184,137.003,45.793,60.475
34,41.363,-19.250,-38.514,0.000,9.575,0.000,-9999.000,-9999.000,-9999.000,35.000,-9999.000,0.000,17309.407,63.444
35,-47.709,-35.203,6.315,0.000,0.000,0.000,-9999.000,-9999.000,-9999.000,20.000,-9999.000,0.000,17274.599,59.626
36,-5.782,-33.785,-22.040,0.000,0.000,0.000,-9999.000,-9999.000,-9999.000,56.000,-9999.000,0.000,17283.219,40.751
37,-10.135,1.399,-31.397,8.455,0.000,0.000,-9999.000,-9999.000,-9999.000,28.000,-9999.000,0.000,17295.621,36.514
38,-25.271,-26.480,13.538,0.000,0.000,18.632,-9999.000,-9999.000,-9999.000,102.000,-9999.000,11.073,17296.744,36.956
39,-44.070,40.381,1.636,0.000,25.932,3.343,-9999.000,-9999.000,-9999.000,46.000,-9999.000,89.817,17317.694,46.410
40,33.848,15.418,18.065,38.451,0.000,25.916,-9999.000,-9999.000,-9999.000,69.000,-9999.000,0.000,17357.655,17.904
41,-38.463,16.130,-7.463,0.000,6.624,0.000,-9999.000,-9999.000,-9999.000,15.000,-9999.000,0.000,17301.617,40.317
42,-40.120,14.775,18.289,12.400,0.000,0.000,-9999.000,-9999.000,-9999.000,21.000,-9999.000,0.000,17314.764,57.542
43,11.319,-32.361,-36.781,0.000,0.000,0.000,-9999.000,-9999.000,-9999.000,22.000,-9999.000,0.000,17285.433,50.281
