,truevtxX,truevtxY,truevtxZ,recovtxX,recovtxY,recovtxZ,Gridpoint,Predicted_Gridpoint,Reco_Gridpoint,DR,vtx_x,vtx_y,vtx_z,DR_reco,DR_DNN
0,35.075,38.713,-11.656,36.707,31.596,-10.112,15078.000,15044.444,15078.000,7.464,30,30,-20,7.463,13.088
1,18.370,49.980,-4.890,15.480,39.495,5.193,16306.000,15118.655,17476.000,14.831,10,40,-10,14.831,13.992
2,-39.896,9.080,-47.513,-39.517,-0.107,-40.876,11381.000,11289.614,11351.000,11.340,-40,0,-50,11.340,9.415
3,42.560,-0.152,-77.295,43.749,2.241,-75.449,7759.000,9581.542,7789.000,3.247,40,-10,-80,3.248,10.529
4,25.218,-12.592,-44.080,37.275,-12.040,-55.115,11327.000,11823.416,10128.000,16.354,20,-20,-50,16.354,10.824
5,-6.200,11.616,-17.976,9.689,11.907,8.252,15014.000,13004.894,17415.000,30.667,-10,10,-20,30.667,4.599
6,-0.654,2.274,-51.035,8.091,9.608,-47.334,10184.000,10292.034,11385.000,11.998,-10,0,-60,11.998,13.149
7,42.781,24.334,-27.123,35.468,14.816,-5.847,13849.000,13859.970,16218.000,24.429,40,20,-30,24.428,5.899
8,86.111,0.146,-31.074,61.150,-19.409,16.732,12593.000,14655.511,18531.000,57.367,80,0,-40,57.366,10.818
9,9.511,47.395,-29.091,11.438,59.001,-27.977,13905.000,14804.428,13936.000,11.817,0,40,-30,11.818,12.082
10,-42.505,5.147,-20.458,-44.721,7.322,-10.924,13780.000,13348.772,14980.000,10.027,-50,0,-30,10.027,13.180
11,47.208,10.485,-25.801,41.104,9.463,-26.511,13819.000,12863.922,13789.000,6.230,40,10,-30,6.230,8.356
12,70.712,-8.777,-43.442,67.221,13.839,-135.340,11362.000,12301.184,621.000,94.704,70,-10,-50,94.704,6.709
13,-38.156,17.492,-6.325,-34.664,1.006,-15.937,16211.000,15494.738,14981.000,19.401,-40,10,-10,19.400,8.546
14,62.765,-42.134,-3.898,55.269,-47.578,10.185,16041.000,14773.515,18440.000,16.857,60,-50,-10,16.857,10.332
15,66.543,-11.382,-49.135,59.510,20.477,-80.818,11331.000,11173.735,6650.000,45.478,60,-20,-50,45.478,10.855
16,-36.157,-0.934,-57.496,-34.485,5.407,-47.189,10151.000,10851.479,11381.000,12.216,-40,-10,-60,12.216,10.160
17,-51.804,-31.973,-50.872,-49.356,-35.580,-51.474,10059.000,9582.896,10060.000,4.401,-60,-40,-60,4.401,14.660
18,39.710,-16.818,-24.349,47.459,-18.347,-13.752,13728.000,14005.921,14929.000,13.217,30,-20,-30,13.217,11.677
19,70.634,17.288,-69.870,70.294,28.049,-92.993,9022.000,10206.402,5452.000,25.507,70,10,-70,25.507,7.317
